left_ear,right_ear,l_pupil_dist,l_pupil_dx,l_pupil_dy,r_pupil_dist,r_pupil_dx,r_pupil_dy,pitch,yaw,roll,label
0.077079,0.43375,0.348395,-0.346328,-0.037888,0.784935,0.544043,-0.565809,-162.943034,-65.94855,159.098888,1
0.272263,0.263837,0.180317,-0.172838,-0.051395,0.279072,0.270094,-0.070217,-173.537468,-0.204669,-4.675828,1
0.307148,0.298782,0.260364,-0.257032,-0.041524,0.214192,0.199463,-0.078055,-171.343373,0.967542,-6.276448,1
0.301694,0.274554,0.243291,-0.238768,-0.04669,0.221294,0.199516,-0.095732,-172.021258,2.381317,-6.823003,1
0.232794,0.206044,0.134246,-0.085699,-0.103332,0.146462,-0.136851,-0.052183,-172.093536,0.614107,-5.930863,1
0.267184,0.28675,0.259457,-0.258158,-0.025923,0.225648,0.192141,-0.118317,-171.42636,0.076699,-6.542128,1
0.248635,0.26695,0.240528,-0.239252,-0.024735,0.227474,0.208765,-0.090341,-171.910512,-1.530393,-6.571609,1
0.254661,0.26442,0.355097,-0.354717,-0.016435,0.14434,0.120566,-0.079359,-171.694215,-1.487471,-6.944138,1
0.238383,0.257667,0.1829,-0.180296,-0.030751,0.255568,0.246441,-0.06769,-173.479067,-3.763032,-2.578977,0
0.184738,0.304761,0.506117,-0.506109,0.002854,0.507243,0.438323,-0.255281,-179.251321,-33.341741,-2.855968,0
0.190573,0.34257,0.482777,-0.482683,0.009549,0.510719,0.476796,-0.183028,-178.430071,-33.708565,-2.722149,0
0.165647,0.30407,0.4728,-0.472648,0.011991,0.269827,0.252517,-0.09509,-178.500191,-32.311876,-2.247581,0
0.233507,0.350882,0.513479,-0.513473,0.002417,0.300628,0.295623,-0.054628,-177.379652,-34.285144,-2.602716,0
0.207566,0.361863,0.49808,-0.497797,-0.016782,0.555248,0.553571,-0.043124,-178.714776,-33.195863,-2.285438,0
0.204776,0.363365,0.544614,-0.544352,-0.016901,0.513549,0.506693,-0.083639,-149.219238,-40.915414,158.947342,0
0.284194,0.290178,0.289865,-0.284363,-0.056209,0.218117,0.198904,-0.089511,-169.174004,-5.803876,-3.04395,1
0.268869,0.282606,0.27517,-0.271542,-0.044534,0.181206,0.157343,-0.089882,-172.037358,-0.658505,-0.100902,1
0.267129,0.277971,0.306442,-0.298058,-0.071192,0.187361,0.173105,-0.071687,-171.450116,-1.619238,-0.800904,1
0.267004,0.279658,0.172476,-0.172367,-0.006126,0.159443,0.157508,-0.024769,179.068037,15.995965,-2.893075,1
0.262412,0.246863,0.239636,-0.234481,-0.049441,0.121816,0.104228,-0.063053,179.555814,9.725736,-1.801532,1
0.263546,0.274951,0.245588,-0.236938,-0.064607,0.279673,0.247399,-0.130424,178.71737,11.037117,-2.184163,1
0.264135,0.241267,0.277567,-0.270498,-0.062247,0.337644,0.312846,-0.127008,177.088185,7.690658,-2.179147,1
0.273318,0.234409,0.260973,-0.256688,-0.047097,0.334513,0.283122,-0.178159,-179.786657,7.569079,-1.36267,1
0.270373,0.257776,0.301665,-0.299717,-0.034224,0.33933,0.289509,-0.177001,179.246138,6.962291,-1.818559,1
0.280757,0.255131,0.299942,-0.298532,-0.029045,0.412237,0.33866,-0.23505,178.772586,8.832733,-1.990091,1
0.269303,0.256139,0.29099,-0.288303,-0.039456,0.37058,0.284384,-0.237602,177.859013,6.337611,-1.966341,1
0.267972,0.260392,0.325876,-0.321516,-0.05313,0.380686,0.294263,-0.241519,179.51816,4.461747,-1.290787,1
0.267074,0.261966,0.295241,-0.290971,-0.050034,0.304096,0.260159,-0.157455,178.183056,5.068746,-1.451698,1
0.12019,0.231823,0.487398,-0.417193,-0.252005,0.169747,-0.001968,-0.169736,176.66446,-23.0651,27.851307,0
0.190304,0.251937,0.193885,-0.130932,-0.142997,0.151697,0.151297,-0.010996,178.510872,-23.692926,28.095862,0
0.206447,0.186852,0.208437,-0.182526,-0.100649,1.475412,1.0086,-1.076832,-175.078582,-39.119406,-153.228296,0
0.148411,0.283157,0.690458,-0.642063,-0.253943,0.294027,0.281542,0.084772,-173.893382,-10.786223,26.226088,0
0.226504,0.299594,0.253599,-0.245789,-0.06245,0.243633,0.125881,0.208592,135.408262,72.466307,0.80228,0
0.210056,0.247324,0.196245,-0.149973,0.126572,0.201644,0.06466,-0.190996,-176.552934,6.024288,-50.856767,0
0.090945,0.236279,0.2356,-0.137217,-0.191517,0.28719,0.224353,0.179287,172.234085,-9.20381,44.007625,0
0.138722,0.248679,0.302581,-0.202742,-0.224612,0.335839,0.303627,0.14352,171.113266,-10.967752,41.469891,0
0.184735,0.229862,0.284186,-0.159925,-0.234917,0.5099,0.3111,0.403998,173.939018,-10.474042,41.472449,0
0.121321,0.181654,0.303979,-0.202802,-0.226439,0.226826,0.154437,0.166131,173.299159,-10.033012,40.883522,0
0.154889,0.140755,0.246022,-0.206488,-0.133751,0.194473,0.180142,-0.07327,171.451424,3.495606,20.490867,0
0.314269,0.299205,0.33022,-0.32679,-0.047471,0.207401,0.176673,-0.108636,-165.781456,14.884325,-4.846657,1
0.270099,0.298466,0.171319,-0.164372,-0.048293,0.329879,0.320074,-0.079831,-169.787512,-10.323916,2.580652,1
0.282393,0.217344,0.316373,-0.313513,-0.042445,0.152128,0.107041,-0.108098,-172.268765,12.228816,-4.100455,1
0.332766,0.239162,0.384423,-0.379025,-0.064191,0.149487,0.097449,-0.113357,-171.113015,8.668441,-4.808042,1
0.185442,0.170438,0.182635,-0.181142,-0.023306,0.146882,0.12687,-0.074014,-173.940744,8.768573,-6.922615,1
0.226012,0.24086,0.258316,-0.254055,-0.046722,0.21351,0.192553,-0.09225,-174.633669,7.121325,-3.122969,1
0.124498,0.155611,0.140458,-0.137686,-0.027767,0.30094,0.298817,-0.035685,-169.872832,2.159354,-1.407113,1
0.23922,0.220504,0.231522,-0.229059,-0.033679,0.143746,0.138628,-0.038016,-177.263309,4.828717,-7.249342,1
0.273914,0.246343,0.235871,-0.235115,-0.018867,0.127182,0.103304,-0.074185,-176.005647,12.83558,-7.351732,1
0.262837,0.224139,0.159075,-0.159057,0.002425,0.191804,0.171904,-0.085076,-174.946498,11.426304,-7.199859,1
0.270548,0.262986,0.264755,-0.26475,-0.00171,0.107716,0.059837,-0.089567,-173.84811,11.349694,-6.846009,1
0.240123,0.278724,0.322354,-0.321947,-0.01619,0.117168,0.056328,-0.10274,-172.828487,0.592968,-5.408694,1
0.277081,0.266974,0.333717,-0.331511,-0.038305,0.126866,0.105392,-0.070623,-176.76971,13.01898,-2.12336,1
0.22746,0.254835,0.24098,-0.2342,-0.056761,0.179007,0.178963,-0.003997,-172.651692,-1.832943,-0.878293,1
0.240068,0.289745,0.274581,-0.263921,-0.075768,0.161343,0.159173,-0.026375,-173.712842,-7.764965,-0.43293,1
0.249109,0.288017,0.263925,-0.252173,-0.077877,0.162237,0.154122,-0.05067,-172.607403,-6.649818,-0.853704,1
0.264118,0.232799,0.181322,-0.179564,-0.025192,0.161314,0.093307,-0.13159,-173.238099,16.291614,-5.99365,1
0.248295,0.276946,0.219188,-0.217719,-0.025336,0.238418,0.219666,-0.092681,-172.831474,10.468783,-5.897137,1
0.257118,0.263446,0.316413,-0.31631,-0.008072,0.179053,0.149772,-0.098123,-171.784175,7.703669,-6.449199,1
0.235886,0.277755,0.190409,-0.189785,-0.015397,0.276181,0.262784,-0.084971,-171.923092,3.699679,-6.360632,1
0.238034,0.283546,0.121366,-0.117233,-0.031403,0.289096,0.28626,-0.04039,-169.697156,-10.603871,-5.493019,1
0.262214,0.312296,0.239656,-0.231735,-0.061108,0.241297,0.234877,-0.055287,-169.229951,-19.881451,-4.549978,1
0.226986,0.289484,0.157229,-0.15177,-0.041073,0.298757,0.290512,-0.069705,-170.341098,-18.680701,-5.104252,1
0.251634,0.272793,0.155874,-0.149846,-0.042931,0.281285,0.27815,-0.041878,-166.368984,-15.982314,-5.153458,1
0.24072,0.296007,0.204748,-0.204443,-0.01117,0.279398,0.273894,-0.055185,-164.489537,-11.409638,-4.583404,0
0.138937,0.21618,0.349196,-0.326731,-0.123227,0.162508,-0.012755,-0.162006,-177.318911,-19.831401,17.837525,0
0.159103,0.229689,0.232749,-0.21122,-0.097767,0.383071,0.338739,-0.178883,-166.389301,-15.003506,23.722405,0
0.118638,0.261935,0.430764,-0.384528,-0.194154,0.131374,0.131352,-0.002446,-169.972184,-10.875631,16.017171,0
0.180124,0.257323,0.197203,-0.092838,-0.173984,0.512035,0.511722,0.017904,-167.783652,-12.733941,15.512773,0
0.147286,0.248516,0.322275,-0.277163,-0.164445,0.259851,0.242715,-0.092801,-169.530697,-11.280329,19.446477,0
0.148296,0.208532,0.232204,-0.230369,-0.029134,0.043099,-0.000059,-0.043099,-169.573571,-0.70632,-3.12907,1
0.271717,0.308201,0.193982,-0.16973,-0.09392,0.095591,0.059977,-0.074434,-174.335248,0.042211,-2.520208,1
0.273313,0.301579,0.192314,-0.165597,-0.097787,0.088369,0.052803,-0.070859,-173.279192,-0.420351,-2.657246,1
0.264894,0.29349,0.205507,-0.187923,-0.083176,0.093518,0.068152,-0.064038,-173.030565,-1.457385,-2.092977,1
0.247317,0.243335,0.286446,-0.260347,-0.11946,0.128565,0.062499,-0.112351,-172.88879,-0.138171,-179.237805,1
0.253543,0.251267,0.263491,-0.240284,-0.108126,0.136907,0.093609,-0.099904,-161.722943,-5.59944,179.605344,1
0.225525,0.224917,0.113081,-0.077178,-0.082649,0.278948,0.257337,-0.107655,-162.538496,-0.324523,-179.595939,1
0.237534,0.251153,0.257665,-0.230191,-0.115774,0.136475,0.092303,-0.100526,-161.586486,-0.976366,-179.18354,1
0.24505,0.26567,0.237632,-0.208353,-0.114272,0.154927,0.119775,-0.098268,-161.464958,-1.299047,-178.566782,1
