left_ear,right_ear,l_pupil_dist,l_pupil_dx,l_pupil_dy,r_pupil_dist,r_pupil_dx,r_pupil_dy,pitch,yaw,roll,label,confidence,user,timestamp
0.3138103303474176,0.33877191722718764,0.08829014139398964,-0.06907770306520875,-0.05498563454763007,0.09593036069477677,0.0742959368504354,-0.0606856479782995,-90,-6.300596459578025,-0.7251609691408333,1,0.9696,student1,2026-05-22T19:38:06.878223
0.2586496398060144,0.2800217509665528,0.16847149340848458,-0.15818978523753316,-0.05795373963592172,0.05884877670154798,0.0008046625335943759,-0.05884327521030493,-90,-14.04130926635851,0.6081424674571223,1,0.9262,student1,2026-05-22T19:38:17.178577
0.7841379555796967,0.2455788326347835,0.5618616982632315,0.3164473053634855,-0.4642732717952128,0.687498223370854,0.44385217586817727,-0.5250229072289753,-90,50.7698548947113,-90,0,0.9253,student1,2026-05-22T19:40:12.150093
0.07041162483997224,0.05584427621537306,0.07789767793866147,-0.07736359355611282,0.009106185827227763,0.05743154082906334,0.053704439775166694,0.020352273348102017,-90,-4.956891506125319,3.807708177981409,0,0.9165,student1,2026-05-22T19:48:26.167763
0.2875137026206106,0.33244606573896196,0.1958725067427401,-0.189047174274933,-0.051256265922790985,0.04652157560627204,0.013167290867095094,-0.04461927216026052,-90,-15.690073671192668,7.516594556549511e-05,1,0.9137,student1,2026-05-22T19:49:06.161529
0.07501509311495114,0.11455749575115594,0.07037400761538502,-0.06347610188514455,0.030385612340662418,0.0608270599490228,0.057504683238892046,0.01982782458154958,90,-16.780542580679693,1.5401416922294544,0,0.9017,student1,2026-05-22T19:51:56.168014
0.07668887398678387,0.07928683661877826,0.05609814370572036,-0.052626448406451046,0.019428295225026808,0.03783505573411773,0.028405532029379888,0.02499234267794174,-90,-0.786897827932083,6.374267167252652,0,0.9215,student1,2026-05-22T19:59:45.855102
0.28733130129965745,0.32055829818976456,0.20382417396900512,-0.18288781693868886,-0.08997966608933328,0.07226150235100477,-0.01954725463352296,-0.06956744611035023,-90,-9.983650351336466,1.6009313093633377,1,0.9335,student1,2026-05-22T20:00:05.871009
0.31982016041625677,0.3668208271895113,0.19267290760523748,0.15311006556552703,-0.11696220392749275,0.346314568119179,0.3002281341665226,-0.17261763393831445,-90,-20.81481867318639,2.110568763554839,0,0.9397,student1,2026-05-22T20:00:45.865738
0.6187741732009179,0.34677864874360664,0.7242077298410989,-0.6939367058790562,0.20719238450127053,0.48515219121891556,-0.48320463940678854,-0.04342723915091431,90,56.94055595124937,-4.307392341065504,0,0.9568,student1,2026-05-22T20:00:55.869005
0.269748329994388,0.29956472176648385,0.11645019514613844,-0.09819525673504376,-0.06259664131814556,0.07330580978495356,0.061776636719449475,-0.03946376697504891,-90,-9.411805882213551,1.3137559384213764,1,0.9156,student1,2026-05-22T20:02:01.160818
0.28865398206508147,0.3144638049638718,0.1627516360145746,-0.13940716086279556,-0.08398653776406802,0.07598835771472649,0.027057657146779445,-0.07100784250988455,-90,-14.596562852275206,1.7165308728392863,1,0.9002,student1,2026-05-22T20:02:36.174143
0.16956035163121866,0.13343951474655225,0.29971648312735866,-0.2834681973913482,-0.09734347089523743,0.2630601240551981,0.20918458792318148,0.1595068557879095,-90,-10.831919025725787,5.210621975625164,0,0.9517,student1,2026-05-22T20:06:01.158476
0.5565749932464633,0.2525180691267479,0.41968086544893357,-0.29412437219525894,0.299370811043279,0.5037607247113887,-0.48727600987205216,0.12781610995846818,-90,87.68827615600561,-90,0,0.9445,student1,2026-05-22T20:06:30.833976
0.054369824594861074,0.039884424767343316,0.07798523767792108,-0.07059114554829715,0.03314494630952009,0.042161974454266136,0.04141177480465834,0.007918143558338352,-90,-12.3808070365913,3.5232072079995533,0,0.9496,student1,2026-05-22T20:07:25.845782
0.0357827263760998,0.06285294038169276,0.1295973216456746,-0.12602455519973527,0.030220477568055026,0.10094512932208559,0.09897033263208979,-0.01986938329556527,90,-5.212099566150317,0.6408678951446125,0,0.9025,student1,2026-05-22T20:07:45.872865
0.26503598401016976,0.3005168099292555,0.1432981927399837,-0.1321101815556732,-0.05550920619025805,0.043151729308929326,0.03059275310730766,-0.03043279809130977,-90,-14.503228851429826,0.2413223530324149,1,0.924,student1,2026-05-22T20:09:45.863536
